Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,reviews,Sentiment,Emotion,rating
42,B001EO5QW8,A1WK4ALVZDYPUE,"Dick Baldwin ""christobe""",0,0,5,1302134400,Oatmeal For Oatmeal Lovers,mccanns make oatmeal every oatmeal connoisseur whether one like raw pellet state cook half hour sloth addle instant do microwave three minute good that s sure beauty instant variety available different flavor well regularbr variety pack allow different taste explore well give chance experience difference mccanns wellknown oatmeal personally like mccanns cook thick body top brand america apples cinnamon though tend little liquidy may want experiment amount water add watt microwave oatmeal cook one minute twentyseven second also watch get handle much time water usebr bad thing consider bad thing offer buy lot you ll end six tencount box good whole family oatmealeater you re single person alone well love oatmeal,Positive,Joyful😄,5
43,B001EO5QW8,A16XFOYQSJREL7,Roger Pugliese,0,0,5,1287014400,Food-Great,mccanns oatmeal every morning order amazon able save almost per boxbr great product taste great healthy,Positive,Joyful😄,5
44,B001EO5QW8,A17DW6SUOC70DJ,Mother of 9,0,0,5,1255392000,Good Hot Breakfast,mccanns oatmeal good quality choice favorite apple cinnamon find none overly sugary good hot breakfast minute excellent,Positive,Joyful😄,5
45,B001EO5QW8,A2G7B7FKP2O2PU,D. Leschke,0,0,5,1209686400,Great taste and convenience,really like mccanns steel cut oat find do not cook oftenbr taste much well grocery store brand convenientbr anything keep eat oatmeal regularly good thing,Positive,Joyful😄,5
46,B001EO5QW8,A39Z97950MCTQE,K. A. Freel,0,0,3,1205193600,Hearty Oatmeal,seem little wholesome supermarket brand somewhat mushy do not quite much flavor either do not pass muster kid probably will not buy,Positive,Joyful😄,3
47,B001EO5QW8,AQLL2R1PPR46X,grumpyrainbow,0,0,5,1192752000,good,good oatmeal like apple cinnamon well though would not follow direction package since always come soupy taste could since like oatmeal really thick add milk top,Positive,Joyful😄,5
48,B001EO5QW8,A26AY1TFK8BQXQ,"kbogo ""shoelover""",1,2,3,1200096000,Mushy,flavor good however see differce oaker oats brand mushy,Positive,Joyful😄,3
49,B001EO5QW8,ALOR97KTZTK1P,knitty pants,1,2,4,1191715200,Very good but next time I won't order the Variety Pack,really like maple brown sugar flavor regular fine brown sugar add apple cinnamon flavor ok quick easy satisfy breakfast ill order brand variety ill get maple brown sugar,Positive,Joyful😄,4
50,B001EO5QW8,A276999Y6VRSCQ,JMay,0,1,3,1334016000,Same stuff,stuff buy big box store nothing healthy carbs sugar save money get something least taste,Positive,Joyful😄,3
51,B001EO5QW8,A108P30XVUFKXY,Roberto A,0,7,1,1203379200,Don't like it,oatmeal good mushy soft do not like quaker oats way go,Positive,Joyful😄,1
52,B000G6RPMY,A3S5KJDA6ED2PS,Mike Kaser,4,4,5,1243900800,HOT!  And good!  Came back for more  :),get free package bottle bloody mary mix buy seller advertising workedlol try share buddy love I m buy noticed review yet well hot burn mouth forever hot nice temp perfect we,Positive,Joyful😄,5
53,B000G6RPMY,A9L6L5H9BPEBO,Edwin C. Pauzer,1,1,4,1348876800,You'll go nuts over Ass-Kickin' Peanuts.,be not stock last time look go vermont country store weston find along jaw harp cranberry horseradish sauce fartless black bean salsa apple cider jelly newton cradle art motion staple vermont maple syrupbr br back ass kickin peanut hot activate perspiration gland behind ear arm require beverage advertise glass cold milk box kleenex since make nose run look like ordinary peanut already give idea work suspect people hit goody absence especially colleague greg I m go take work early opportunity empty content ordinary planter peanut see whose cry whose nose run returnbr br shake ensure spice evenly distribute important wash hand consumption touch eyesbr br you ll go nuts asskickin peanutsbr br ps I m share peanut deliberately ill probably give greg jaw harp christmas hell insult,Negative,Angry😠,4
54,B000G6RPMY,AQ9DWWYP2KJCQ,"Roel Trevino ""protomex""",0,0,3,1278028800,not ass kickin,use spicy food south texas spicy doubt much habanero use could take notch two,Positive,Joyful😄,3
55,B002GWHC0G,A1ND7WC5LXOU48,"David Belton ""Proteus 1""",2,2,4,1322438400,Roasts up a smooth brew,roast home stovetop popcorn popper outside course bean coffee bean direct green mexican altura seem wellsuite method first second crack distinct I ve roast bean medium slightly dark great result every time aroma strong persistent taste smooth velvety yet lively,Positive,Joyful😄,4
56,B002GWHC0G,A2EFAW1P3DRXWO,TJ Fairfax,0,0,5,1349395200,Our guests love it!,roast large cast iron pan grill bag time smell wonderful roasted bean taste delicious importantly coffee smooth bitter aftertaste numerous occasion we ve send roasted bean home friend like much,Positive,Joyful😄,5
57,B004N5KULM,A202WR509428VF,amateur amazon shopper,2,2,5,1322438400,Awesome Deal!,deal awesome arrive halloween indicate enough satisfy trick treater love quality product much less expensive local store candy,Positive,Joyful😄,5
58,B004N5KULM,ASCNNAJU6SXF8,S. Beck,1,1,5,1336176000,How can you go wrong!,chocolate say great variety everything family love family six go fast perfect variety kit kat reese take five,Positive,Joyful😄,5
59,B004N5KULM,A2A7KXM9B4XW90,"P. Kelso ""Amazon all the way!""",0,0,5,1320364800,Awsome - Kids in neighborhood loved us!,great product nice combination chocolate perfect size bag plenty ship promptly kid neighborhood like candy,Positive,Joyful😄,5
60,B004N5KULM,A2QOGOXPOVKAJG,mimimc,0,0,5,1320105600,great deal.,halloween send bag daughter class share chocolate fresh enjoy many,Positive,Joyful😄,5
61,B004N5KULM,A1ZR8O62VSU4OK,"Lisa J. Szlosek ""lisa""",2,4,3,1318723200,Better price for this at Target,watch price assortment good get gold box purchase price wasbr less target,Positive,Joyful😄,3
62,B004N5KULM,A7ZK2A3VIW7X9,Peggy,0,2,5,1319414400,pretty expensive,bag candy online pretty expensive cheap order compete grocery store good combination favorite candy,Positive,Joyful😄,5
63,B001EO5TPM,A1E09XGZUR78C6,gary sturrock,2,2,1,1215302400,stale product.,arrive day stale could eat bag,Negative,Angry😠,1
64,B005DUM9UQ,A3HR0ZZOFKQ97N,RLC,3,3,5,1333497600,Hammer Nutrition 's Fizz Rocks!,use endurolyte product several year pill powder form long desert ride dirt bike always find camelbak water heavily laced endurolyte powder overly tasty quite effective never get cramp several hundred mile ride desert racing buggy camelbak always lace powder fizzwhat great product firstly hammer endurolyte product great endurance athlete world use product second convenient handly tablet dissovle fizz third taste great imagine get nice cool drink body starve hydration electrolyte rather get salty taste get refresh lemonlime mango camelbak always get fizz also drop tablet bottled water whenever exercise nice flavor water chock full electrolyte can not recommend product hammer product highly enough,Positive,Joyful😄,5
65,B005DUM9UQ,A2XIHNXODNZGV4,"ChemProf ""chem professor""",1,1,5,1333584000,great source of electrolytes,product serve well source electrolyte long run bike ridebr try flavor really like grapefruit flavor aftertaste actually like slight carbonationbr use hammer product really like whole product line,Positive,Joyful😄,5
66,B005DUM9UQ,A3TWF9DQ6MU87E,dhy4b,1,1,5,1331510400,Great for preventing cramps,stuff really work prevent cramp middle latter stage ride pop water bottle you re set flavor fine go easy,Positive,Joyful😄,5
67,B005DUM9UQ,AEFIZIJ1FK1BK,Doug,0,0,5,1345161600,Low Carb Alternative to Gatorade,we low carb diet little tablet thingbr br two year ago start cycle many year heart arrhythmia long ride high heat drink plain water little research thought electrolyte might issue gatorade be not option load carbohydrate look around lowcarb alternative zero carb sport drink do not help one day run across bike shop try tube themvoilaproblem solvedbr br I ve share two friend particular whose problem leg cramp resolve use thesebr br guy get right superbly formulate simply work,Positive,Joyful😄,5
68,B005DUM9UQ,A8OFFIAL6XTOH,Bill Shirer,0,1,2,1338422400,Taste is not so good.,purchase mango flavor do not take like mango hint sweetness unfortunately hint aftertaste almost like licorice I ve consume various sport nutrition product decade I m familiar come like taste product I ve try mango flavor one least appeal I ve taste terrible bad enough notice bad taste every sip take,Negative,Angry😠,2
69,B000E7VI7S,A1KL2LAW08X6UQ,calmnsense,0,0,3,1169251200,How much would you pay for a bag of chocolate pretzels?,you re impulsive like ok do not get wrong quality baby good complaint retrospect price little ridiculous esp add shipping,Negative,Angry😠,3
70,B000E7VI7S,AWCBF2ZWIN57F,C. Salcido,0,2,5,1185753600,pretzel haven!,sooooo deliscious bad eat em fast gain pds fault,Negative,Angry😠,5
71,B001GVISJC,A27TKQHFW0FB5N,Chet,2,2,5,1254355200,Great Gummi!,albanese gummi bear ring good tasty high quality bear even little face local candy store type gummi stuff bear ring snake ball worm whatever lb twin pack pound bag scream deal far I m concerned I m probably pound deep friggin thing consume,Positive,Joyful😄,5
72,B001GVISJC,A3BDOAPSF96WGQ,2tall,1,1,5,1289260800,Bigger then other brands,grape gummy bear hard find area fact pretty much anyone talk grape gummy bear think I m lie buy lbs bear little bit big brand kind sour kick nothing strong love grape flavor candysoda pretty good another company make grape gummy bear little bit well opinion well worth price like use gummy bear home make popsicle flavor sport drink salt sport drink make soft popsicle gummy bear awesome frozen delicious,Positive,Joyful😄,5
73,B006SQBRMA,ATYMT48R62ENE,Marie,0,0,5,1327017600,Best ever latice tart,order two two raspberry latice tart directly fantasicake website dinner party hosting arrive fresh intact good size freeze half later use pastry lover well I ve ever taste pastry soft jam really good taste great go time guest really impress,Positive,Joyful😄,5
74,B0059WXJKM,A25VFHVGI4CFTP,Diana Robinson,0,1,1,1335744000,Warning!  WARNING!  -ALCOHOL SUGARS!,buyer beware please sweeten everybody maltitol alcohol sugar undigestible body know short time consume one unsuspecting many can not digest extreme intestinal bloating cramp massive amount gas person experience nausea diarrhea headache also experience learn lesson hard way year ago fall love sugarfree chocolate suzanne sommer use sell think i d find sugarfree chocolate nirvana first taste bliss short live terrible side effect maltitol kick discomfort unlike anything ever feel blew like balloon painful abdominal cramping symptom pass unpleasant though hard believe low calorie sweetener could culprit symptom gone stop eat chocolate hunch something maltitol unfortunately confirm year later purchase delicious sugarfree popcorn local market taste amazing look label wonder could possibly make yummy new sugarfree treat taste good heart sink follow little asterisk next sugarfree sweetener bottom label read maltitol tiny little letter thank goodness i d eat little still end sideeffect much short duration people use maltitol heart content other like bad reaction case you re like maltitol,Negative,Angry😠,1
75,B001EPPI84,A3Q0IDQ03S0158,Jen,0,0,2,1287705600,nothing special,okay would go way buy,Positive,Joyful😄,2
76,B001EPPI84,A27TZ4WBU7N0YF,I. So,0,0,1,1275004800,No Tea Flavor,tea flavor whole brunch artifial flavor returnable waste buck,Neutral,Calm😌,1
77,B004X2KR36,A2W3ABLWMJ84NS,Jessica Snyder,0,0,5,1348444800,Good,look like perfect snack trail mix unfortunately arrive solid mass melt chocolate leave pantry day open room temperature still gooey fridge I ve break hunk ever since taste good chocolate grainy melt solidify will not order online see store would pick,Positive,Joyful😄,5
78,B004X2KR36,A26M5O53PHZTKN,"Debs ""peanut""",0,0,5,1348185600,Taste great,taste really good purchase different brand similar taste texture agree reviewer regard order summer insulate packaging ice pack melt warm weather like chocolate food item order cold weather buy enough last,Positive,Joyful😄,5
79,B004X2KR36,A2AB7M9UCNBVN7,sharonh4,0,0,3,1346976000,Order only in cold weather,taste great berry melt may order winter order cold weather enjoy flavor,Positive,Joyful😄,3
80,B005R8JE8O,A3H1EQD2PBC085,jmc,0,0,5,1344902400,this is the best,know can not make tea good grant south know never enjoy tea sweet without sweet taste crisp,Positive,Joyful😄,5
81,B0066DMI6Y,AB30HQTI5VOLR,Melinda Bishop,1,1,5,1325116800,Delicious!,peppermint stick delicious fun eat dad get one christma remember similar one little girl I m love,Positive,Joyful😄,5
82,B0066DMI6Y,AZLONLC8OZPEC,John W. Hollis,1,1,4,1324598400,Great,great gift age purchase giant canes recipient love much keep would eat,Positive,Joyful😄,4
83,B003ZFRKGO,A2VOZX7YBT0D6D,"Johnnycakes ""Johnnycakes""",15,15,5,1325635200,Forget Molecular Gastronomy - this stuff rockes a coffee creamer!,know product title say molecular gastronomy do not let scare look food science something earth use make coffee creamerbr br coffee blonde sweet flavor creamer full bad kind fat honestly hate use manufacture food item really do not think good body hand hate use cold milk cream like hot coffeebr br stumble across amazon one day get idea make creamer also buy lowfat noninstant milk powder regular milk powder noninstant lowfat milk little sweet taste fresher regular instant lowfat milk dissolve good cold water problem hot coffee play ratio would heavy cream make coffee rich also think powder expensive use like mix togetherbr br flavoring bough cocoa bean powder vanilla bean powder caster superfine sugar mix small batch along spice like cinnamon nutmeg make flavor creamer want could use fake sweetner powder instead make small amount store jelly can jar also use little food chopperfood processor blend everything sugar heavy sink bottom let settle bit open top thoughbr br stuff taste way well storebought creamer fun experiment come flavor go try use essential oil next see get good chocolateorange mixbr br ingredient mention online take time experiment maybe do not use lowfat milk do not add flavoring also would make great housewarminghostess giftsbr br sure molecular people able tell sure experiment cook main reason buy make creamer work great,Positive,Joyful😄,5
84,B0019CW0HE,A1FD9E5C06UB6B,BRENDA DEMERS,5,5,3,1301011200,Natural Balance Lamb and Rice,dog like flavor try dog food reason itching increase try lamb rice itchy dog give limited ingredient dog food try help duck sweet potato cut itching significantly try lamb rice start itch like natural balance quality ingredient,Positive,Joyful😄,3
85,B0019CW0HE,AK2CXHH9VRZ2A,I. GLENN,4,4,3,1313193600,INCREASED MY DOGS ITCHING,awesome dog food however give boston severe reaction food ingredient itch increase violent jumping bed night scratch soon change different formula scratch stop glad natural balance choice guess try find what s good pet,Positive,Joyful😄,3
86,B0019CW0HE,A25BGFRHYHEZKK,Toby's mom,4,4,5,1292889600,Great food!,three dog love food buy specifically one dog food allergy work great hot spot tummy problemsbr love ship right door free shipping,Positive,Joyful😄,5
87,B0019CW0HE,A37N9XZBB8JYOF,Ash52,1,1,5,1333670400,Great for my dogs allergies,dog ton allergy environmental food prescription dog food test see allergy get test back learn allergic something prescription brand finally find dog food do well still environmental trigger happy finally eat something know will not cause pain,Positive,Joyful😄,5
88,B0019CW0HE,A1T4L0Q47OZ9N,Wendy,1,1,5,1320883200,Great for stomach problems!,shepherdcollie mix ibs vet recommend limited ingredient food really help symptom likes always buy amazonit cheap free shipping,Positive,Joyful😄,5
89,B0019CW0HE,A3IMXZE9FCUNOC,Dana,1,1,5,1311638400,Better life for you dog!,natural balance dry dog food lamb meal brown rice recipe wonder jack russell awful food allergys food last hope last food could find do not something allergic problem eat dry normally mix natural balance dry lamb brown rice natural balance wet lamb brown rice seem like well start feed dog bichon love dog allergys stomach issue want dog eat well food see difference pet,Negative,Angry😠,5
90,B0019CW0HE,A1EC57S6C2VLTL,"Lorraine ""Agelechio""",0,0,5,1347408000,Great Food,great food love idea one food age breed îts real convenience well really good product dog eat less almost gas poop regular perfect consistency else mom ask,Positive,Joyful😄,5
91,B0019CW0HE,A1OGD72Y2Y26CF,Lisas201,0,0,5,1335398400,Great food for my my dog who has a sensitive stomach.,standard poodle pomeranian wonderful food switch different food due price couple time end go right back natural balance,Positive,Joyful😄,5
92,B0019CW0HE,A7JWCYVPF7KCO,gare,0,0,5,1334966400,Great dog food,great dog food dog sever allergie brand one feed,Positive,Joyful😄,5
93,B0019CW0HE,ABG53EBZBKD23,"J. Romagnoli ""*jroma""",0,0,5,1333929600,Mmmmm  Mmmmm good.,food great age dog year old puppy soft hardly ever get sick food good especially amazon prime shipping,Positive,Joyful😄,5
94,B0019CW0HE,A3AF72GP4GVRY1,John D. Meara,0,0,5,1330041600,Great Dog Food!,golden retriever one picky dog I ve ever meet experiment various type food find love natural balance really like natural balance fact multiple flavor dry wet variety mix dry food little wet food golden love furthermore like mix flavor time think meal day day might get little boring figured tend stay away fish type though smellsbr br additionally start purchase amazon petco do not wet food box couple can come home surprise realize could save time buy dog food buy amazonbr br definitely recommend give stamp approval natural balance dog food never eat dog seem love,Positive,Joyful😄,5
95,B0019CW0HE,A1DJAAKLPCJRZD,wendy,0,0,5,1329609600,So convenient,food get pet store deliver door price slightly less,Negative,Angry😠,5
96,B0019CW0HE,A1BFNM27629VAV,E. Triebe,0,0,5,1320105600,Good healthy dog food,I ve please natural balance dog food dog issue dog food past someone recommend natural balance grain free since possible allergic grain since switch have not issue also helpful different kibble size largersmaller sized dog,Positive,Joyful😄,5
97,B0019CW0HE,A18AAABCIJKC5Q,Rhiever,0,0,5,1303776000,Great dog food,year old basenjijack russell mix love dog food he s noticeably healthier energetic since switch standard dog food early year despite high cost natural dog food find eat significantly less natural balance dog food still stay happy full normal dog food he d eat cup dog food day recommend serve size whereas eat cup cup natural balance dog food day take account you re actually get bang buck natural dog food since do not buy much last long normal dog food healthy happy dog boot add fact get free day ship amazon prime I m sell,Positive,Joyful😄,5
98,B0019CW0HE,A3UII2114114PI,"FuNky Faja ""SiLkk""",0,0,5,1297296000,"Great allergy sensitive dog food, dogs love it",pup experience allergy form hotspot itch dog food cheap buy anywhere food crazy preservative cause health problem pet food work wonder reduce allergy dog love foodbr message ramsey frankenstein approve,Positive,Joyful😄,5
